BigHitEnt,70600
TiktokKR,14216
btsvotingteam,14141
BTS_twt,11727
gingerol95,11641
unicefkorea,9333
modooborahae,8476
JDOPE_9494,8437
btsarmy_twt1997,7948
doolsetbangtan,6734
SUGAJelly9339,6696
bittersweet901,6021
REALV1230,5603
IDAREU_JK,5599
charts_k,5548
jinKissLetsgo,5335
btsdailystats,5045
btsanalytics,4890
mono_suga,4840
BTSdailyinfo,4767
ThrowbacksBTS,4721
BTSNewsBrasil,4588
Hope_InMyWorld,4561
freesia_kookmin,4494
sceneryfortae,4448
blacknwhite_km,4375
mbcnews,4214
ARMYTEAMID,4133
ame3_jk,4044
_jjjenniii,3996
aspire_for_BTS,3972
iambts_angel,3819
hope_crescent,3811
skypjm1013,3568
fistbump_suga,3507
BTSPublicity,3357
DreamK97,3156
midnight_gif,3128
bqbytae,2950
HoneyJoonie94,2946
_candyclover,2929
_jimintoday_,2923
BTSVotingFam,2903
choi_bts2,2829
SeptemberJK97,2780
aubreykmiller,2773
Sugapowder_0309,2760
jkgalaxyyyy,2748
sailorv1230,2656
btsarmykorean2,2655
onlyoneutopia,2491
wuvluvs,2457
V_Pintor__,2452
gingerol_95,2224
_nojam_nolife,2206
histarjimin,2201
bts_geek_stats,2157
SOLID_RM,2132
cloud_h0pe,2117
mysevenhealers,2105
ginger098658648,2087
BangtanINDIA,2030
Dexerto,2025
SerieTV46,2008
myloverjimin,1956
MoNiJunNi,1877
nevermind309_,1826
vminggukx,1815
Hyungih,1806
USBTSARMY,1782
Seonyart,1735
seokjingomez,1727
goodmorning1013,1706
btsworldwider,1692
tiktokmy,1687
HopePolaris_218,1670
KEENEYEDJK,1642
Jin_Butterfly,1623
spring030993,1623
JMLOVEMODE,1608
kthluvtng,1599
mellifluousjjk,1573
nams1009,1563
TeamARMYforBTS,1514
Happy_JKTH,1508
pendamin_1013,1496
POPUPOPEU_twt,1482
youthJK_97,1476
SHUMATION_0309,1463
2013x613,1450
eluceo_himes,1439
monosonixx,1430
Aeonian_V,1410
purplev1230,1405
MnetMAMA,1400
BTSMusicFam,1352
tokyoatl,1348
ggun_jin,1341
__WildRose2__,1337
V_ibe_1230,1337
